"","ymd","state","id","region","var","value","var2","lty"
"52",2022-05-24,"Northeast","regional","Northeast","hosp_case",3.76090622189812,"New admission:New case ratio",FALSE
"53",2022-05-31,"Northeast","regional","Northeast","hosp_case",4.42518008787114,"New admission:New case ratio",FALSE
"54",2022-06-07,"Northeast","regional","Northeast","hosp_case",4.8375190489628,"New admission:New case ratio",FALSE
"55",2022-06-14,"Northeast","regional","Northeast","hosp_case",5.12897259268838,"New admission:New case ratio",FALSE
"56",2022-06-21,"Northeast","regional","Northeast","hosp_case",5.76056981418659,"New admission:New case ratio",FALSE
"57",2022-06-28,"Northeast","regional","Northeast","hosp_case",5.64388836250531,"New admission:New case ratio",FALSE
"58",2021-06-01,"Midwest","regional","Midwest","hosp_case",16.1251724990627,"New admission:New case ratio",FALSE
"59",2021-06-08,"Midwest","regional","Midwest","hosp_case",17.1044204774936,"New admission:New case ratio",FALSE
"60",2021-06-15,"Midwest","regional","Midwest","hosp_case",17.3527212502858,"New admission:New case ratio",FALSE
"61",2021-06-22,"Midwest","regional","Midwest","hosp_case",17.4441667872568,"New admission:New case ratio",FALSE
"62",2021-06-29,"Midwest","regional","Midwest","hosp_case",15.0409393744422,"New admission:New case ratio",FALSE
"63",2021-07-06,"Midwest","regional","Midwest","hosp_case",13.3305260836697,"New admission:New case ratio",FALSE
"64",2021-07-13,"Midwest","regional","Midwest","hosp_case",11.5280564815497,"New admission:New case ratio",FALSE
"65",2021-07-20,"Midwest","regional","Midwest","hosp_case",9.66320492497027,"New admission:New case ratio",FALSE
"66",2021-07-27,"Midwest","regional","Midwest","hosp_case",8.92322406856869,"New admission:New case ratio",FALSE
"67",2021-08-03,"Midwest","regional","Midwest","hosp_case",8.36398782734647,"New admission:New case ratio",FALSE
"68",2021-08-10,"Midwest","regional","Midwest","hosp_case",8.19535385658702,"New admission:New case ratio",FALSE
"69",2021-08-17,"Midwest","regional","Midwest","hosp_case",8.22693360105514,"New admission:New case ratio",FALSE
"70",2021-08-24,"Midwest","regional","Midwest","hosp_case",8.31558264256598,"New admission:New case ratio",FALSE
"71",2021-08-31,"Midwest","regional","Midwest","hosp_case",7.20996661733834,"New admission:New case ratio",FALSE
"72",2021-09-07,"Midwest","regional","Midwest","hosp_case",7.51859468698034,"New admission:New case ratio",FALSE
"73",2021-09-14,"Midwest","regional","Midwest","hosp_case",6.83666355571597,"New admission:New case ratio",FALSE
"74",2021-09-21,"Midwest","regional","Midwest","hosp_case",6.79388479279479,"New admission:New case ratio",FALSE
"75",2021-09-28,"Midwest","regional","Midwest","hosp_case",7.30620669082774,"New admission:New case ratio",FALSE
"76",2021-10-05,"Midwest","regional","Midwest","hosp_case",6.71271873812493,"New admission:New case ratio",FALSE
"77",2021-10-12,"Midwest","regional","Midwest","hosp_case",7.21252221135695,"New admission:New case ratio",FALSE
"78",2021-10-19,"Midwest","regional","Midwest","hosp_case",7.46753246753247,"New admission:New case ratio",FALSE
"79",2021-10-26,"Midwest","regional","Midwest","hosp_case",7.32247336424818,"New admission:New case ratio",FALSE
"80",2021-11-02,"Midwest","regional","Midwest","hosp_case",6.9164340224518,"New admission:New case ratio",FALSE
"81",2021-11-09,"Midwest","regional","Midwest","hosp_case",6.59090701342449,"New admission:New case ratio",FALSE
"82",2021-11-16,"Midwest","regional","Midwest","hosp_case",5.98650556455443,"New admission:New case ratio",FALSE
"83",2021-11-23,"Midwest","regional","Midwest","hosp_case",6.27183650941579,"New admission:New case ratio",FALSE
"84",2021-11-30,"Midwest","regional","Midwest","hosp_case",7.62317747611865,"New admission:New case ratio",FALSE
"85",2021-12-07,"Midwest","regional","Midwest","hosp_case",6.20886505742481,"New admission:New case ratio",FALSE
"86",2021-12-14,"Midwest","regional","Midwest","hosp_case",7.19899515745258,"New admission:New case ratio",FALSE
"87",2021-12-21,"Midwest","regional","Midwest","hosp_case",6.22418362418756,"New admission:New case ratio",FALSE
"88",2021-12-28,"Midwest","regional","Midwest","hosp_case",5.38678443589143,"New admission:New case ratio",FALSE
"89",2022-01-04,"Midwest","regional","Midwest","hosp_case",4.18030079304374,"New admission:New case ratio",FALSE
"90",2022-01-11,"Midwest","regional","Midwest","hosp_case",3.30460701862483,"New admission:New case ratio",FALSE
"91",2022-01-18,"Midwest","regional","Midwest","hosp_case",3.09449212864022,"New admission:New case ratio",FALSE
"92",2022-01-25,"Midwest","regional","Midwest","hosp_case",2.80513207235745,"New admission:New case ratio",FALSE
"93",2022-02-01,"Midwest","regional","Midwest","hosp_case",3.81786302787505,"New admission:New case ratio",FALSE
"94",2022-02-08,"Midwest","regional","Midwest","hosp_case",5.63118419662664,"New admission:New case ratio",FALSE
"95",2022-02-15,"Midwest","regional","Midwest","hosp_case",6.98105788463888,"New admission:New case ratio",FALSE
"96",2022-02-22,"Midwest","regional","Midwest","hosp_case",9.62377780310552,"New admission:New case ratio",FALSE
"97",2022-03-01,"Midwest","regional","Midwest","hosp_case",8.55984157309536,"New admission:New case ratio",FALSE
"98",2022-03-08,"Midwest","regional","Midwest","hosp_case",10.5610707278711,"New admission:New case ratio",FALSE
"99",2022-03-15,"Midwest","regional","Midwest","hosp_case",10.0556831592781,"New admission:New case ratio",FALSE
"100",2022-03-22,"Midwest","regional","Midwest","hosp_case",9.66262244248797,"New admission:New case ratio",FALSE
"101",2022-03-29,"Midwest","regional","Midwest","hosp_case",7.75110042137801,"New admission:New case ratio",FALSE
"102",2022-04-05,"Midwest","regional","Midwest","hosp_case",7.36766125455478,"New admission:New case ratio",FALSE
"103",2022-04-12,"Midwest","regional","Midwest","hosp_case",6.29788153312984,"New admission:New case ratio",FALSE
"104",2022-04-19,"Midwest","regional","Midwest","hosp_case",4.48633150614792,"New admission:New case ratio",FALSE
"105",2022-04-26,"Midwest","regional","Midwest","hosp_case",4.42213561816743,"New admission:New case ratio",FALSE
"106",2022-05-03,"Midwest","regional","Midwest","hosp_case",4.58499033535526,"New admission:New case ratio",FALSE
"107",2022-05-10,"Midwest","regional","Midwest","hosp_case",3.54656547179254,"New admission:New case ratio",FALSE
"108",2022-05-17,"Midwest","regional","Midwest","hosp_case",3.70915319044408,"New admission:New case ratio",FALSE
"109",2022-05-24,"Midwest","regional","Midwest","hosp_case",3.94119365033617,"New admission:New case ratio",FALSE
"110",2022-05-31,"Midwest","regional","Midwest","hosp_case",4.4059927622063,"New admission:New case ratio",FALSE
"111",2022-06-07,"Midwest","regional","Midwest","hosp_case",4.57362329926742,"New admission:New case ratio",FALSE
"112",2022-06-14,"Midwest","regional","Midwest","hosp_case",4.93103037915323,"New admission:New case ratio",FALSE
"113",2022-06-21,"Midwest","regional","Midwest","hosp_case",5.48359226303389,"New admission:New case ratio",FALSE
"114",2022-06-28,"Midwest","regional","Midwest","hosp_case",5.23698774117533,"New admission:New case ratio",FALSE
"115",2021-06-01,"South","regional","South","hosp_case",18.9003957120824,"New admission:New case ratio",FALSE
"116",2021-06-08,"South","regional","South","hosp_case",17.2923959780689,"New admission:New case ratio",FALSE
"117",2021-06-15,"South","regional","South","hosp_case",19.0018447435471,"New admission:New case ratio",FALSE
"118",2021-06-22,"South","regional","South","hosp_case",18.9301046924332,"New admission:New case ratio",FALSE
"119",2021-06-29,"South","regional","South","hosp_case",18.2434399773402,"New admission:New case ratio",FALSE
"120",2021-07-06,"South","regional","South","hosp_case",16.8701292664057,"New admission:New case ratio",FALSE
"121",2021-07-13,"South","regional","South","hosp_case",13.5349929391737,"New admission:New case ratio",FALSE
"122",2021-07-20,"South","regional","South","hosp_case",11.1417222258743,"New admission:New case ratio",FALSE
"123",2021-07-27,"South","regional","South","hosp_case",9.66197632411647,"New admission:New case ratio",FALSE
"124",2021-08-03,"South","regional","South","hosp_case",9.47588769793113,"New admission:New case ratio",FALSE
"125",2021-08-10,"South","regional","South","hosp_case",9.56668720243436,"New admission:New case ratio",FALSE
"126",2021-08-17,"South","regional","South","hosp_case",9.14442736023385,"New admission:New case ratio",FALSE
"127",2021-08-24,"South","regional","South","hosp_case",8.97788394219855,"New admission:New case ratio",FALSE
"128",2021-08-31,"South","regional","South","hosp_case",8.25713949516584,"New admission:New case ratio",FALSE
"129",2021-09-07,"South","regional","South","hosp_case",8.69026067947732,"New admission:New case ratio",FALSE
"130",2021-09-14,"South","regional","South","hosp_case",7.92055816672092,"New admission:New case ratio",FALSE
"131",2021-09-21,"South","regional","South","hosp_case",8.30144402775672,"New admission:New case ratio",FALSE
"132",2021-09-28,"South","regional","South","hosp_case",8.38831372173888,"New admission:New case ratio",FALSE
"133",2021-10-05,"South","regional","South","hosp_case",8.709392374996,"New admission:New case ratio",FALSE
"134",2021-10-12,"South","regional","South","hosp_case",9.16651280228368,"New admission:New case ratio",FALSE
"135",2021-10-19,"South","regional","South","hosp_case",9.54903688218165,"New admission:New case ratio",FALSE
"136",2021-10-26,"South","regional","South","hosp_case",9.54522396701173,"New admission:New case ratio",FALSE
"137",2021-11-02,"South","regional","South","hosp_case",9.32517583363806,"New admission:New case ratio",FALSE
