"","Start date","State","Duration of 'high' episode (weeks)","Weekly cases per 100K","Weekly hospital admissions per 100K","Percentage of inpatient beds occupied by COVID-19 patients","Weekly deaths per 100K 21 days after start","Binding indicator","max","check_bound","check_bound2","type"
"48",2021-09-22,"Maine",2,238,15.3993566491,9.59094606663415,1.33,"Hosps",1.96,FALSE,TRUE,"Start"
"49",2021-09-22,"Missouri",1,222,17.3851326646928,11.7116743536869,2.1,"Hosps",4.27,FALSE,FALSE,"End"
"50",2021-09-22,"Vermont",2,240,10.8976280030577,5.18985338963854,2.1,"Hosps",2.1,FALSE,TRUE,"Start"
"51",2021-09-29,"Alabama",1,331,20.1297727905433,14.4088246754023,6.72,"Hosps",17.99,FALSE,FALSE,"End"
"52",2021-09-29,"Arkansas",1,224,21.0086539748771,11.8974139041784,2.1,"Hosps",7.28,FALSE,FALSE,"End"
"53",2021-09-29,"Florida",1,180,22.0134923898174,13.6736382868192,3.92,"Hosps",12.25,FALSE,FALSE,"End"
"54",2021-09-29,"Mississippi",1,268,13.0369816833767,12.2465984858162,2.31,"Hosps",10.5,FALSE,FALSE,"End"
"55",2021-09-29,"Vermont",1,218,12.5002203564486,4.73126432411917,1.47,"Hosps",2.1,FALSE,FALSE,"End"
"56",2021-10-06,"Nevada",1,187,21.1352931474899,12.57057240784,3.78,"Hosps",3.78,FALSE,FALSE,"End"
"57",2021-10-06,"Oregon",1,236,12.0917923521547,14.9509026353133,2.38,"Hosps",5.11,FALSE,FALSE,"End"
"58",2021-10-06,"Texas",1,200,18.7405928448941,15.7508047167461,3.99,"Hosps",7.28,FALSE,FALSE,"End"
"59",2021-10-06,"Virginia",1,220,14.3986557817984,12.0997933126134,2.87,"Hosps",3.57,FALSE,FALSE,"End"
"60",2021-10-13,"Georgia",1,160,20.541707719472,13.4557226682948,4.13,"Hosps",7.91,FALSE,FALSE,"End"
"61",2021-10-13,"Indiana",1,219,18.4931595362539,12.1225880112323,3.08,"Hosps",4.62,FALSE,FALSE,"End"
"62",2021-10-13,"Maine",20,258,10.2662377660667,7.30880699689298,2.87,"Hosps",8.4,FALSE,FALSE,"Start"
"63",2021-10-13,"North Carolina",1,219,14.3686873598648,12.8883410728136,2.45,"Hosps",5.18,FALSE,FALSE,"End"
